主播昵称,用户id,直播分类,房间名,直播热度,直播间地址,主播图片地址
Jz0w0,411398863,英雄联盟,千分ad 之工资到位物资干碎,445476,https://www.douyu.com/9847280,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-04-20_dad4753187e4e9fd83a2b2e24292339f.jpg/webpdy2
尺子AD,4614584,英雄联盟,AD专场 详细教学 认真直播,414726,https://www.douyu.com/7955682,https://rpic.douyucdn.cn/asrpic/220818/7955682_1706.png/webpdy2
若雨蚂蚱,10350627,英雄联盟,国服第一蚂蚱高达90胜率,408602,https://www.douyu.com/541340,https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2022/03/01/443f98849146080ef4de06aa71cf7df3.png/webpdy2
雪饼O3O,13938614,英雄联盟,艾欧尼亚有车位 美少女版,398291,https://www.douyu.com/10840393,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-08-17_e966897411db184469e1477316f04c7b.jpg/webpdy2
糖宝sweety,160113004,英雄联盟,黑色玫瑰-懂不懂三千场璐璐的含金量啊？？,376446,https://www.douyu.com/3474208,https://rpic.douyucdn.cn/asrpic/220818/3474208_1705.png/webpdy2
小白白不听不听,212445245,英雄联盟,脆宝：艾欧尼亚1=4,373629,https://www.douyu.com/5324613,https://rpic.douyucdn.cn/asrpic/220818/5324613_1705.png/webpdy2
恶霸提莫,5190245,英雄联盟,世界第一提莫，这版本我无敌！,370272,https://www.douyu.com/5220173,https://rpic.douyucdn.cn/asrpic/220818/5220173_1705.png/webpdy2
十一叔叔o,13786482,英雄联盟,"中单AP科加斯,简单粗暴 一口一个小朋友",347437,https://www.douyu.com/1164398,https://rpic.douyucdn.cn/asrpic/220818/1164398_1704.png/webpdy2
seraphine喵,214330778,英雄联盟,【电一】上分车有车位，来认识一下吧~,346431,https://www.douyu.com/7719479,https://rpic.douyucdn.cn/asrpic/220818/7719479_1706.png/webpdy2
昊天jug,406600425,英雄联盟,一区大师乱杀教学局！,338432,https://www.douyu.com/10800159,https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2022/05/25/563b5cce06629d59d540e96bc7346f71.jpg/webpdy2
小阿超ccc,211048752,英雄联盟,扫码上号!大乱斗不可能输一把！！！！,337780,https://www.douyu.com/5283485,https://rpic.douyucdn.cn/asrpic/220818/5283485_1705.png/webpdy2
